GO_RangeCode,GO_OBSERVER1s,GO_WaterSource,GO_DG_SpecificSource,GO_Date,GO_Time_HHMM,GO_Time_HHMM_End,GO_DatObsTime,GO_SheepUTM_E,GO_SheepUTM_N,GO_DG_Photo#Start,GO_DG_Photo#End,GO_DG_PhotoFolder,KI_Known_ID,KI_DatObsT_ID,KI_Sex,KI_DG_FirstPhotoTime,KI_DG_LastPhotoTime,KI_DG_SheepDrank,KI_DG_FirstPhotoTime2,KI_DG_LastPhotoTime2,KI_DG_SheepDrank2,KI_DG_FirstPhotoTime3,KI_DG_LastPhotoTime3,KI_DG_SheepDrank3,KI_DG_FirstPhotoTime4,KI_DG_LastPhotoTime4,KI_DG_SheepDrank4,GO_GroupSize,GO_NoLambs,GO_NoMaleLambs,GO_NoFemLambs,GO_NoUnkLambs,GO_NoShtYrlgEwe,GO_NoShtYrlgRam,GO_NoShtYrlgUnkwn,GO_TotNoShtYrlg,GO_TotNoEwe,GO_NoYrlgEwe,GO_NoAdltEwe,GO_NoUnkEwe,GO_TotNoRam,GO_NoYrlgRam,GO_NoAdltRam,GO_NoUnkRam,GO_UnkwSexAge,GO_NoCatI,GO_NoCatII,GO_NoCatIII,GO_NoCatIV,GO_NoLamb0,GO_NoLambHalf,GO_NoLambFull,GO_Comments,GO_UnknownYearling,GO_totalYearling,GO_UnknownAdult,GO_TotalAdults,GO_TotalSexUnkn,GO_TotalAgeUnkn,GO_MarkedMale,GO_MarkedFemale,CP_Weight (kg),CP_AgeCategor,CP_AgeYears,CP_BdyLgth_cm,CP_ChstGth_cm,Year,Month,Day
Marb,D_Glass,Vern,,20190612,7:25,,20190612D_Glass07:25,,,6120241,6120311,8,BHS_1581,20190612D_Glass07:25BHS_1581,,7:27,7:28,Y,,,,,,,,,,5,0,0,0,0,0,0,0,0,3,0,3,0,2,0,2,0,0,1,1,0,0,0,0,0,,0,0,0,5,0,0,0,1,68,Adult,5,139,101,2019,6,12
Marb,D_Glass,Vern,,20190612,9:05,,20190612D_Glass09:05,,,6120430,6120459,8,BHS_1587,20190612D_Glass09:05BHS_1587,,9:05,9:09,Y,,,,,,,,,,4,1,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,3,1,0,0,2,65.5,Adult,6,139,97,2019,6,12
Marb,D_Glass,Vern,,20190612,9:05,,20190612D_Glass09:05,,,6120430,6120459,8,BHS_1357,20190612D_Glass09:05BHS_1357,,9:08,9:09,Y,,,,,,,,,,4,1,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,3,1,0,0,2,,Adult,2,,,2019,6,12
Marb,D_Glass,Vern,,20190612,9:40,,20190612D_Glass09:40,,,6120466,6120476,8,BHS_1574,20190612D_Glass09:40BHS_1574,,9:40,10:19,Y,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Group not comped.,0,0,0,0,0,0,0,1,63.6,Adult,10,146,95.5,2019,6,12
Marb,D_Glass,Vern,,20190612,10:43,,20190612D_Glass10:43,,,6120559,6120595,8,BHS_1682,20190612D_Glass10:43BHS_1682,,10:43,10:48,Y,,,,,,,,,,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,2,0,0,1,0,61,Adult,3,140,98.5,2019,6,12
Marb,D_Glass,Vern,,20190612,11:45,,20190612D_Glass11:45,,,6120616,6120623,8,BHS_1575,20190612D_Glass11:45BHS_1575,,11:45,11:48,Y,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,1,67.1,Adult,5,143,99,2019,6,12
Marb,D_Glass,Marb,,20190518,6:55,,20190518D_Glass06:55,,,20190518_065045_05180300,20190518_070125,1,BHS_1589,20190518D_Glass06:55BHS_1589,,6:55,6:59,Y,,,,,,,,,,4,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,0,0,0,1,0,2,0,0,0,,0,0,0,4,0,0,0,1,,Adult,6,,,2019,5,18
Marb,D_Glass,Marb,,20190519,13:13,,20190519D_Glass13:13,,,20190519_130459,20190519_132212,1,BHS_1683,20190519D_Glass13:13BHS_1683,,13:11,13:19,Y,,,,,,,,,,5,1,0,0,1,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,1,1,0,1,0,,0,0,0,4,1,0,1,0,64.6,Adult,3,144,95.5,2019,5,19
Marb,D_Glass,Marb,,20190521,9:46,,20190521D_Glass09:46,,,Smarb_20190521_094624,Smarb_20190521_100727,1,BHS_1576,20190521D_Glass09:46BHS_1576,,10:07,10:07,N,,,,,,,,,,4,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,0,0,0,0,0,3,0,0,0,,0,0,0,4,0,0,0,1,58.5,Adult,8,141,97,2019,5,21
Marb,D_Glass,Marb,,20190521,10:37,,20190521D_Glass10:37,,,Smarb_20190521_103702,Smarb_20190521_104954,2,BHS_1683,20190521D_Glass10:37BHS_1683,,10:45,10:49,Y,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,1,1,3,0,0,0,,0,0,0,5,0,0,1,0,64.6,Adult,3,144,95.5,2019,5,21
