X,rownumlrgdatset,ID,step,angle,x,y,step.1,angle.1,DeviceName,DeviceID,DateTimeGMT,DateTimeLocal,Altitude,FixStatus,DOP,TempC,MainV,BackV,Date,TimeLocal,MountainRange,BHSID,Sex,DateTimeLocalTest,DateTimeLocalTestct,IndPoint,positangle,positangledegree,Month,stplengthtopo,lagtime,leadtime,WaterSource
NA,NA,NA,NA,NA,-115.1061,35.2736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vice
NA,NA,NA,NA,NA,-115.086839,35.30297216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KidS
