step,angle,x,y,DeviceName,DeviceID,DateTimeGMT,DateTimeLocal,Altitude,FixStatus,DOP,TempC,MainV,BackV,Date,TimeLocal,MountainRange,BHSID,Sex,KI_Known_ID,DateTimeLocalTest,DateTimeLocalTestct,positangle,positangledegree,lagtime,leadtime,stplengthtopo,WaterSource
NA,NA,-115.1061,35.2736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vice
NA,NA,-115.086839,35.30297216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CMPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KidS
