Mountain Range,Latitude,Longitude,Name,Currently has water?,Sheep use?,Camera Data?,,,,Needs to be added to ArcMap/GoogleEarth,
Clippers,647973,3842730,Burnt Spring /Bob Wood Drinker,U,U,,1/30/2017 SCBS says it has erosion damage and need the gabion rebuilt,,,,
Clippers,646075,3846091,Fall Spring,U,U,,,,,,
Clippers,651563,3846943,Hummingbird Spring,Y,U,,,,,,
Clippers,648284,3848940,Chuckwalla Spring Drinker,Y,Y,,,,,,
Clippers,648565,3849059,Rattler Spring ,N,N,,,,,,
Dead Mtns,706212,3876989,Eagle Feather Tank,N,N,,5/9/2017 Ashley found no water in tank.,,,,
Dead Mtns,705222,3883175,Picture Canyon Spring,Y,Y,,5/10/2017 Danielle found sheep sign but no sheep. The spring really is a series of springs/collection points that run from the spring to the eastern side of the canyon.,,,,
Dead Mtns,706527,3880109,Dead Mtn Adit,Y,N,,"5/10/2017 Paige found the adit with water, but no sheep sign. Location needs to be changed.",,,,
Dead Mtns,707439,3877362,Crying Spring,N,N,,5/9/2017 Ashley found a green area with no water.,,,,
Dead Mtns,707792,3868489,Red Spring,U,U,,,,,,
Dead Mtns,707524,3877030,Danielle's Wet Spot,Y,N,,5/9/2017 Danielle found a wet spot complete with frogs. No sheep sign.,,,,
Dead Mtns,706726,3877137,Ashley's Seep,Y,N,,"5/9/2017 Ashley found a seep, no sign of sheep",,,,
Dead Mtns,,,Granite Spring (in Nevada),U,U,,,,,,
Granite Mtn,620091,3848085,Willow Spring,U,U,,,,,,
Granite Mtn,614917,3848586,Budweiser Spring,U,U,,,,,,
Granite Mtn,618062,3852372,Bull Canyon Creek,U,U,,,,,,
Granite Mtn,621240,3852285,Cottonwood Spring,U,U,,,,,,
Granite Mtn,625088,3852769,Snake Spring,U,U,,,,,,
Granite Mtn,621297,3857190,Coyote Springs ,U,U,,,,,,
Granite Mtn,,,Twin Springs,U,U,,,,,,
Granite Mtn,,,Cove Springs,U,U,,,,,,
Granite Mtn,618744,3848851,Basalt Spring,U,U,,,,,,
Granite Mtn,619922,3848175,Dad Spring,U,U,,,,,,
Granite Mtn,620286,3856530,Falls Canyon Spring,U,U,,,,,,
Granite Mtn,618922,3851731,Barnes Spring,U,U,,,,,,
Granite Mtn,616445,3854449,Fork Spring,U,U,,,,,,
Granite Mtn,616226,3853457,Sidedraw Spring,U,U,,,,,,
Iron Mtns,665481,3781920,Lutz Drinker,N,N,Y,,,,,
Iron Mtns,665480,3781920,Tinajas by Lutz Drinker,Y,Y,,,,,,
Iron Mtns,673363,3780078,Iron Mountain Pumping Plant,Y,N,,Talked to employees. No sheep use.,,,,
Iron Mtns,664762,3782053,Steinmetz's Folly Spring,N,N,,but definitely sheep sign around,,,,
Ivanpah/Mescal,633985,3924374,Groaner Spring,N,N,,6/6/17 dry,,,,
Ivanpah/Mescal,633608,3924559,Hardrock Queen Spring,Y,U,,"6/6/17 water, tracks assume to be deer, but could be sheep, burro use, in relatively flat area",,,,
Ivanpah/Mescal,635291,3924498,China Spring,N,N,,6/6/17 dry,,,,
Ivanpah/Mescal,633331,3924840,Mescal Unnamed Spring 2,Y,N,,"6/6/17 House sucking all the water from spring into a tank, land owned by San Bernardino County Museum",,,,
Ivanpah/Mescal,636990,3914188,Morning Star Mine,Y,N,,"6/6/17 Large lake in open-pit mine. Deer use. Looks like good sheep habitat, but currently no sheep use?",,,,
Ivanpah/Mescal,635322,3924499,Mescal Unnamed Spring 1,N,N,,6/6/17 dry,,,,
Kingstons,596982,3955668,Porcupine Tank,Y,N,,,,,,
Kingstons,596465,3960515,Beck Spring (Mine Pond),Y,N,,,,,,
Kingstons,600395,3959267,Horse Thief Springs,Y,N,,,,,,
Kingstons,593797,3961524,Tecopa/Crystal Springs,Y,Y,,,,,,
