"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","xend","yend"
"48652",-116.0927558,36.0351539,2019-06-07 00:00:00,0.000127200000008543,0.000111700000005044,0.000169282987932338,14400,0,0.720608269478422,NA,NA,NA
"48876",-116.0926286,36.0352656,2019-06-07 04:00:00,0.000291699999991124,-0.00222310000000192,0.00224215577068217,14400,2.86567300033001e-08,-1.44032849936663,-2.16093676884505,-116.0927558,36.0351539
"49089",-116.0923369,36.0330425,2019-06-07 08:00:00,-0.000605299999989484,-0.000570600000003196,0.000831848814383309,14460,4.63348716998653e-06,-2.38569524110508,-0.945366741738453,-116.0926286,36.0352656
"49315",-116.0929422,36.0324719,2019-06-07 12:01:00,9.99999998896328e-06,-7.76999999985151e-05,7.83408577917584e-05,14340,7.2278689599966e-06,-1.44279980320016,0.942895437904927,-116.0923369,36.0330425
"49511",-116.0929322,36.0323942,2019-06-07 16:00:00,-0.00158919999999796,-0.000161399999996092,0.00159737490902801,14400,7.64706104999251e-06,-3.04037915824701,-1.59757935504685,-116.0929422,36.0324719
"49732",-116.0945214,36.0322328,2019-06-07 20:00:00,-1.79999999971869e-05,3.63999999990483e-05,4.06073884881735e-05,43200,1.16501685699647e-05,2.03003867789718,-1.2127674710354,-116.0929322,36.0323942
"50365",-116.0945394,36.0322692,2019-06-08 08:00:00,0.000540799999996011,-7.31000000016024e-05,0.000545718104881925,14400,1.15027230499605e-05,-0.134355797616448,-2.16439447551363,-116.0945214,36.0322328
"50588",-116.0939986,36.0321961,2019-06-08 12:00:00,5.30000001219832e-06,-0.000143600000001243,0.00014369777312292,14400,1.02931326799836e-05,-1.53390499383639,-1.39954919621994,-116.0945394,36.0322692
"50785",-116.0939933,36.0320525,2019-06-08 16:00:00,-0.000507500000011873,2.08000000014863e-05,0.000507926067466628,28860,1.11500882099603e-05,3.10063035764441,-1.64864995569879,-116.0939986,36.0321961
"51239",-116.0945008,36.0320733,2019-06-09 00:01:00,-9.49999999875217e-05,0.000159799999998711,0.000185905997744067,28800,1.25351213599803e-05,2.1071568087127,-0.993473548931714,-116.0939933,36.0320525
"51659",-116.0945958,36.0322331,2019-06-09 08:01:00,0.000411399999990181,-0.000239199999995776,0.00047588507014814,14400,1.19166726399428e-05,-0.526652619764721,-2.63380942847742,-116.0945008,36.0320733
"51856",-116.0941844,36.0319939,2019-06-09 12:01:00,-0.000340600000001245,4.24999999992792e-05,0.000343241329097746,43140,1.20264979599539e-05,3.01745447687905,-2.73907821053582,-116.0945958,36.0322331
